feedback,category,sentiment
teacher are punctual but they should also give us the some practical knowledge other than theortical,Teaching,Neutral
Good,Teaching,Positive
Excellent lectures are delivered by teachers and all teachers are very punctual.,Teaching,Positive
teachers give us all the information required to improve the performance.,Teaching,Positive
Yes,Teaching,Positive
good and punctual,Teaching,Positive
It is good,Teaching,Positive
It's good when compare with my Btech lectures and teaching activities.,Teaching,Positive
way of teaching is good,Teaching,Positive
"University teaching here is very much dependent upon slides,though it is a easy way of teaching but still leaving some concepts unclear..otherwise interaction with the faculty is good.Lecture delivery sometimes is not upto the mark and punctuality is  fine.",Teaching,Neutral
As compared to other colleges and university our university is perfect in all the aspects,Teaching,Positive
Lectures helps in clear our concept,Teaching,Positive
"Talk about punctuality, it's really good but the lecture delivery is somehow not appreciated because every teacher has different style of teaching, so lack of knowledge in terms of subject is there and interaction is also kind of boring. A teacher should be entertaining as well but they are really not. All they want us to be studios and disciplined which is really not the thinking of every student.",Teaching,Neutral
"University is very good at delivering proper lectures,also the interaction with students is descent. Sometimes the teachers lack in terms of punctuality but overall university is giving a good input.",Teaching,Positive
lecturer are punctual and can interact them easily.,Teaching,Positive
Punctuality is good. Most of the teachers are not interacting with students .,Teaching,Neutral
nice,Teaching,Positive
lecture delivery is not so good,Teaching,Negative
It's good,Teaching,Positive
"Discipline, punctuality , lecture delivery all are good but hv to do some work for quality of lecture",Teaching,Positive
"Interaction is very good,accurate supplement material is provided but recommendation of books is very poor,the change of a particular teacher after 3 months or a semester of same subject causes problems",Teaching,Neutral
Perfect,Teaching,Positive
It is really gud,Teaching,Positive
Very good teaching and management but too much load on student and working hours,Teaching,Neutral
in terms of lecture delivery that is good.in terms of punctuality that is also good but in terms of intraction that is very bad. There are some teachers they donot interact and do not litsn our problms that means they do not coprate.,Teaching,Negative
According to me everything is going well in accordance to interaction.More than enough is served.,Teaching,Positive
not effective and satisfactory in terms of lecture delivery by all the faculty .,Teaching,Negative
Accurate,Teaching,Positive
it is good depending on the faculty,Teaching,Positive
"maintained punctuality, good lecture delivery",Teaching,Positive
average,Teaching,Neutral
good,Teaching,Positive
"it is quite good , depending on teacher and their experience",Teaching,Positive
"it is quite good , depends upon teacher and their experience",Teaching,Positive
the way of teaching is good but the time more than enough,Teaching,Positive
good teaching delivery,Teaching,Positive
"good, teacher is delivery the lecture in the best way they can",Teaching,Positive
good and qualified teachers but few lacks in interaction with students and fails to describe a topic,Teaching,Neutral
"very good teaching facilities, lecture given are fruitful and teachers are punctual",Teaching,Positive
interaction is good but not with mostly male lecturers.punctuality is maintained by everyone but lecture delivery not peak quality.,Teaching,Neutral
all things are good,Teaching,Positive
all activties are good,Teaching,Positive
All is good. no other university is so serious about the concept of practicals.,Teaching,Positive
"lecture delivery depends on teacher's knowledge, punctuality is good",Teaching,Positive
way of teaching is average,Teaching,Positive
not so good,Teaching,Negative
the staff is highly punctual ad interactive and encourage students to participate in the class,Teaching,Positive
"staff and faculty members are always available for interaction, very punctual and delivery of lecture can be improved",Teaching,Positive
good delivery,Teaching,Positive
"our university is good in terms of lecture delivery,interaction and punctuality",Teaching,Positive
very good,Teaching,Positive
"interaction satisfied, lecture delivery good,punctuality always on time",Teaching,Positive
Excellent but it depends upon teacher,Teaching,Positive
very good.,Teaching,Positive
it is ok,Teaching,Positive
some teachers aren't doing their jobs in very well manner,Teaching,Negative
